ID;aircraftType;aircraftGroup;name;descr
efb81457-58ef-4f48-bab9-9587b9bade02;318;32S;;
7d61e912-9eeb-48b1-8f7d-a11ee93df3e9;319;32S;;
53b118bf-ae03-4051-aeee-345f3b64e4e2;319;ALL;;
afad654d-2b24-4f31-88b5-50a3f1ea0b67;320;32S;;
7d882ba3-4cf4-47a2-895c-8d0ab4eba40e;320;ALL;;
e22b2c08-9e53-487a-bb41-4ec50c976986;321;ALL;;
506cf6e8-7e35-40fc-b525-2841b7f5a724;32N;32S;;
0d73962c-42e3-46e5-9b52-9867ddf3d16a;32N;ALL;;
fe67151e-700e-4d58-bbe8-01f165b91614;330;330;;
d7154f51-e3b9-4c72-a27c-832fa199b48b;330;ALL;;
5ca89fc5-dede-4773-8cbd-a493df10cf57;330;WBF;;
b8fc4bc1-b02d-471a-a582-2f2e5bbbdcbc;332;330;;
66c7d2d9-9970-4512-b9b2-cf5855959820;332;33S;;
68f1b373-4537-4c28-905e-8b5001ab5554;332;ALL;;
a72dee22-cab1-4118-b512-bee9bceb650a;332;WBF;;
0230a6d3-d1be-4e37-98bd-defef25fc761;333;330;;
ce0728a8-9b6d-465f-8e9a-492aeee2f229;333;ALL;;
b2c946ec-ed90-4756-bd52-929150c8fefe;333;WBF;;
f4f71198-cff2-414a-8669-d0632fd396f5;339;33S;;
cae6ce60-6a01-48b8-92bb-543b450124ac;787;788;;
03620abd-9965-431b-8fda-0f7c4aab43b8;787;ALL;;
b7ae2f65-3ce4-4929-b976-eed80a038fab;788;788;;
f6d88807-0089-4c60-82fc-13963433809d;788;ALL;;
8180b6e2-8cca-4537-8459-45fd4bf30b5b;788;WBF;;
abed1f0e-3d08-47b4-9491-1954f3104f8c;789;ALL;;
0aab9cb2-aec9-434d-b752-7fdb1fa41aa6;789;WBF;;
ff5195e7-2b94-4f98-836c-262dc831c7f5;AT7;ALL;;
bf7b97e7-561a-4684-b386-e8d3321d9a25;E90;EMB;;
e9706405-cfcb-4299-b614-db67b14b2fc3;E95;EMB;;
